0,"The lie that coronavirus came from a bat or a pangolin is concocted by the Chinese state with the tacit support of the U.S. deep state and its friends in the European Union, Russia and Australia, and spread by the docile media in all of those countries"
0,The health experts had predicted the virus could kill 65 million people in a year
0,"The Centers for Disease Control and Prevention (CDC) announced that COVID-19, a disease caused by the coronavirus, had been found in toilet paper, and that people should use wet cloths instead"
2,"Warm weather will kill coronavirus. U.S. President Donald Trump said he hoped the virus would go away in April 2020 because the ""heat generally speaking kills this kind of virus."""
0,Using a hair dryer to breathe in hot air can cure COVID-19 and stop its spread
1,Washing your hands decreases the number of microbes on your hands and helps prevent the spread of infectious diseases
1,The Chinese government is building a hospital in 10 days to deal with the new coronavirus
2,"U.S. President Donald Trump referred to the new coronavirus as a ""hoax."""
1,"U.S. federal government will support for free coronavirus testing, paid sick and family leave, and food assistance for poor families"
0,U.S. Vice President Mike Pence took over the Trump administration's response to an outbreak of a new coronavirus. He Touch NASA gear labeled ‘Do Not Touch�?
2,The coronavirus is “heat resistant�?
2,Viral particles released during a sneeze can reach 10 feet
1,The coronavirus survive longer on metal surfaces
1,"We found that viable [COVID-19] virus could be detected in aerosols up to 3 hours post aerosolization, up to 4 hours on copper, up to 24 hours on cardboard and up to 2-3 days on plastic and stainless steel"
0,Video shows China lifts ban on Korans during COVID-19 pandemic
0,U.S. Vice President Mike Pence introduced a program to cure new coronavirus carriers with the discredited practice of conversion therapy
1,The U.S. government has since taken steps to roll out widespread testing for the coronavirus disease at no cost to patients
2,Videos show people collapsing on the street due to coronavirus
0,WHO has released “protocols and procedures” of lockdown periods to fight Covid-19
1,"Valencia, Spain, has closed its beaches to prevent people fleeing the virus from coming there, and leading to a reverse migration away from the shore"
2,The United States offered large sums of money to secure a COVID-19 vaccine for exclusive U.S. use
1,"The Supreme Court announced Monday that it is postponing arguments for late March and early April because of the coronavirus, including fights over subpoenas for President Donald Trump’s financial records"
1,"The coronavirus can live in the air for several hours, up to 24 hours on cardboard and up to two to three days on plastic and stainless steel. Cleaning surfaces with solutions containing diluted bleach should kill it"
2,There is no risk of spread through sweat
0,You will get a free coronavirus test by donating blood
1,Trump declares coronavirus pandemic a national emergency. The president said it would free up as much as $50 billion for state and local governments to respond to the outbreak
1,The novel coronavirus can live for two to three days on plastic and stainless steel
1,"With deaths spiking in Iran and Italy and infections spreading quickly through Europe, the Mideast and the Americas, countries were considering new drastic measures to curb the new coronavirus"
0,This photo shows the Italian president crying over COVID-19
1,The Trump administration recently announced plans for a $1 trillion emergency stimulus package to alleviate economic strain caused by the coronavirus pandemic
0,"The U.S. government is sending out hundreds of dollars per week to each U.S. citizen “starting from�?either March 16 or March 17, depending on the post"
0,"The U.S. government have announced measures that all workplaces with 10 employees or more are to have paid mandatory leave to avoid the spread of the COVID-19 coronavirus starting from March 6, 2020.3.23"
0,"Viral posts on social media claim COVID-19 is no worse than other outbreaks that have occurred in “every election year,�?suggesting that the new coronavirus is being “hyped�?to hurt President Donald Trump"
2,The novel coronavirus has a contagion factor of 2
2,"The “cure rate�?for people under 50 infected with COVID-19 is 99.7%, which would equate to a death rate of 0.3%"
0,The spread of COVID-19 is leveling off
1,There is currently no specific medicine recommended to prevent or treat the new coronavirus
1,"While saline water or water with vinegar is sometimes used to help soothe a sore throat, but it doesn’t kill the virus"
0,Within 48 to 72 Hours�?The president will order a two week mandatory quarantine for the nation. Stock up on whatever you guys need to make sure you have a two week supply of everything. Please forward to your network
0,The coronavirus is not so harmful. It was the least deadly and most-hyped by the media
0,Vaccine for COVID-19 is now available
1,"The total number of deaths from Covid-19 in Italy rose from 233 to 4,032 over about two weeks"
1,"The total number of deaths from Covid-19 in the UK is now at 233, the same number of deaths reported in Italy about two weeks ago"
0,Youngsters deliberately coughing on produce in grocery stores during the COVID-19 pandemic is a nationwide trend in the U.S
0,"The US is charging over $3,000 per test�?for patients who may have COVID-19"
1,"The U.S. Food and Drug Administration has authorized the use of two tests, one from the Centers for Disease Control and Prevention and one from the New York State Department of Public Health. Neither agency is currently charging patients for the test"
0,The vaccine used to protect cattle from the bovine coronavirus would be effective in vaccinating against the novel coronavirus
2,"The new coronavirus would “go away�?in April, as temperatures warm"
0,Vitamin C can stop the new coronavirus
0,"The coronavirus pandemic can be dramatically slowed, or stopped completely, with the immediate widespread use of high doses of vitamin C"
0,The new coronavirus contains HIV insertions and shows signs of being created in a lab. So it was bioengineered
0,"The coronavirus was man-made, rather than the natural result of people coming into contact with wild animals"
0,"The new coronavirus, also known as 2019 novel coronavirus, or 2019-nCoV, and HIV, largely based on an unpublished manuscript by scientists in India"
0,"Very short insertions in the coronavirus protein sequence had an uncanny similarity to HIV, so we can conclude they derive from HIV"
0,The coronavirus has been genetically engineered for the purposes of a weapon
0,The new virus could have leaked from a Chinese lab working on a vaccine
0,The coronavirus was created by a Chinese spy team
0,"There are “thousands�?or �?0,000�?dead as a result of the Wuhan coronavirus. As of early Jan. 27, the estimated death toll is 81 �?all of them in China"
1,The first cases of COVID-19 were reported in the United States and South Korea on the same day
0,There is connection between the outbreak of coronavirus in China and any RCMP investigation
0,US Pharmaceutical develops vaccine for COVID-19 in 3 hours
0,Video shows Jack Ma praising China’s response to COVID-19 in speech
0,There a patent for the coronavirus from 2015
0,"The television show ""My Secret Terrius"" predicted the 2020 COVID-19 outbreak"
1,"Washing bed linen or towels at 60C is a good idea, as this can kill any viruses in the fabric"
0,There are four young people in an intensive care unit in Cork who have no underlying illnesses - all were taking anti-inflammatories and there are concerns this has caused a more severe illness
0,The vast majority of people who died of Covid-19 had ibuprofen in their system
0,Vaccine was reportedly distributed to shops and homes in one particular area of the Venice region
0,"The vaccine was created in Australia to combat Covid-19, and the only country in the world to have bought it is Switzerland"
0,"Taking six doses of the vaccine would give protection from the virus for a year, and was available for 50 euros via an email address given in the leaflet"
0,You should gargle with disinfectant to stop the virus entering the lungs
0,"The coronavirus was part of a ""hybrid warfare"" programme waged by the US on China and Iran"
0,The Covid-19 is a bioweapon and planned
0,"You should avoid spicy food and load up on vitamin C"" in order to prevent the disease"
1,"WHO suggests only avoiding consuming ""raw or undercooked animal products"""
0,The Bill & Melinda Gates Foundation is a donor to both Pirbright and vaccine development to suggest that the current outbreak virus has somehow been deliberately manufactured to attract funding for the development of a vaccine
0,The coronavirus started in a secret lab
0,Tests run by the university’s laboratory had found “strong evidence that ibuprofen accelerates the multiplication of the virus
0,The 14 hour-long self imposed curfew will break the chain of transmission as the lifespan of the novel Coronavirus is 12 hours
0,The NHS has warned people should not shake hands to prevent the spread of the Wuhan coronavirus
0,"Wuhan, China, the centre of the new coronavirus outbreak, was where 5G was first rolled out. It suggests that 5G has damaged peoples�?immune systems and so boosted the virulence of the common cold"
0,Video of Canada PM Justin Trudeau’s wife pleading people to take COVID-19 seriously
0,"There are four young people with no underlying illnesses in an intensive care unit in Cork due to Covid-19, who had all been taking anti-inflammatory drugs"
0,The French health minister warned people with the new coronavirus against taking ibuprofen
0,The WHO has said that regularly rinsing your nose with saline is likely to prevent infection with the new coronavirus
0,The World Health Organisation (WHO) have advised people to use contactless payments instead of cash to reduce the risk of Covid-19 transmission
1,"The WHO advises the public to wash their hands after handling money, especially if handling or eating food"
0,Vaccines to cure Covid-19 are ready
0,World Health Organization warns against eating cabbage during COVID-19 pandemic
0,The new coronavirus is 400-500 micro and for this reason wide enough to be stopped by masks
0,"To test for the new coronavirus, take a deep breath and hold for more than 10 seconds. If you complete it successfully without coughing, discomfort, stuffiness or tightness it proves there is no fibrosis in the lungs, basically indicating no infection"
0,The NHS pays £4 billion annually in rent to private investors because of deals under Labour
1,"The CDC reported that between mid-February and mid-March, 20% of the hospitalizations for coronavirus were for patients age 20-44 and 18% were age 45-54"
0,Video of an emotional appeal by the COVID-19 patient in Surat who had returned from London
0,The New York Times exposed the real reason behind coronavirus hype: Crash the market to harm Trump’s re-election chances
0,UNHCR says refugees in Malaysia are resisting COVID-19 tests
0,The WHO coronavirus test “was a bad test.�?
0,Using essential oils can help cure the coronavirus
0,Tinctures can kill the coronavirus
0,The World Health Organization offered the testing kits that they have available and to give it to us now. We (Trump administration) refused them. We did not want to buy them
1,The CDC in U.S. opted to develop its own coronavirus test and did not use the WHO’s protocol for the test
0,The Clintons are responsible for more deaths than the coronavirus. Coronavirus �?22. Clintons �?39
0,Tea can cure or alleviate novel coronavirus (COVID-19) infection
0,The CDC can detain anyone with a fever �?indefinitely. �?Vaccination (is) a way people could get out of detention
1,The CDC does have the power to isolate people with certain infectious diseases and quarantine those who had contact with an infected person
0,The Simpsons' predicted Tom Hanks getting coronavirus in 2007
0,You can monitor yourself for COVID-19 with a breath test
1,The only way to test for COVID-19 right now is via laboratory testing
0,This is an advisory issued by Singapore’s Ministry of Health about the first symptoms of novel coronavirus or COVID-19
0,Tom Hanks has a volleyball to keep him company while he’s quarantined
1,"Tom Hanks and Rita Wilson tested positive for COVID-19 in Australia, where Hanks is shooting a movie"
0,The health insurance industry in U.S. has “agreed to waive all co-payments for coronavirus treatments.�?
1,Whole of Italy goes into quarantine
1,"The Itali government’s extraordinary measures, announced at Palazzo Chigi late on 9 March, comes amid a worsening of the coronavirus outbreak. The new stringent measures, covering the entire country, and would take effect tomorrow morning"
1,Three Maryland coronavirus patients fully recovered and are able to return to everyday life
1,The number of new cases in South Korea is declining
0,Trump shakes hands with CPAC Chairman �?President Trump has come into contact with a potential coronavirus sufferer
0,The coronavirus was invented and patented in the USA and then planted in China
0,"The coronavirus discovered in Wuhan, China, was staged to cover-up the public health crisis caused by the intensive 5G roll-out in Wuhan in 2019"
0,The media pulled down an entire shelf of goods so that they can present the news of people buying stuff in a hysteria over the coronavirus
0,There is a coronavirus-related travel page that provides guidance for international travelers
0,"The State of Florida has announced measures that all workplaces with 10 employees or more are to have paid mandatory leave to avoid the spread of COVID-19 coronavirus starting on March 6, 2020. All schools are to close for 2 weeks also from March 6th"
0,The Vatican reports that Pope Francis tested negative for the coronavirus before a second test came back positive
1,The United States is actually screening fewer people (for the coronavirus than other countries) because we don't have appropriate testing
0,"The blood test for coronavirus costs $3,200"
0,"Trump’s White House already said I won’t be able to afford the vaccine. If I can’t afford the test and I can’t afford the treatment, am I just supposed to die. This is exactly why I support healthcare as a human right"
1,"Tulsa County's first positive Covid-19 case has recovered. This individual has had two negative tests, which is the indicator of recovery"
